,TICKER,EST_DATE,MEASURE,FPI,MEANEST,ACT_DATE,ACTUAL
226,AAPL,20100114,EPS,1,0.28,20100930,0.5411
261,AAPL,20100114,EPS,2,0.34,20110930,0.9886
227,AAPL,20100218,EPS,1,0.42,20100930,0.5411
262,AAPL,20100218,EPS,2,0.47,20110930,0.9886
228,AAPL,20100318,EPS,1,0.42,20100930,0.5411
263,AAPL,20100318,EPS,2,0.47,20110930,0.9886
229,AAPL,20100415,EPS,1,0.43,20100930,0.5411
264,AAPL,20100415,EPS,2,0.5,20110930,0.9886
368,AAPL,20100415,EPS,5,0.54,20140930,1.6125
230,AAPL,20100520,EPS,1,0.48,20100930,0.5411
265,AAPL,20100520,EPS,2,0.55,20110930,0.9886
369,AAPL,20100520,EPS,5,0.59,20140930,1.6125
231,AAPL,20100617,EPS,1,0.48,20100930,0.5411
266,AAPL,20100617,EPS,2,0.56,20110930,0.9886
370,AAPL,20100617,EPS,5,0.61,20140930,1.6125
232,AAPL,20100715,EPS,1,0.49,20100930,0.5411
267,AAPL,20100715,EPS,2,0.59,20110930,0.9886
371,AAPL,20100715,EPS,5,0.61,20140930,1.6125
233,AAPL,20100819,EPS,1,0.52,20100930,0.5411
268,AAPL,20100819,EPS,2,0.62,20110930,0.9886
372,AAPL,20100819,EPS,5,0.61,20140930,1.6125
234,AAPL,20100916,EPS,1,0.52,20100930,0.5411
269,AAPL,20100916,EPS,2,0.63,20110930,0.9886
235,AAPL,20101014,EPS,1,0.52,20100930,0.5411
270,AAPL,20101014,EPS,2,0.64,20110930,0.9886
373,AAPL,20101014,EPS,5,1.04,20140930,1.6125
248,AAPL,20101118,EPS,1,0.68,20110930,0.9886
286,AAPL,20101118,EPS,2,0.78,20120930,1.5768
249,AAPL,20101216,EPS,1,0.68,20110930,0.9886
287,AAPL,20101216,EPS,2,0.8,20120930,1.5768
250,AAPL,20110120,EPS,1,0.81,20110930,0.9886
288,AAPL,20110120,EPS,2,0.93,20120930,1.5768
398,AAPL,20110120,EPS,5,1.33,20150930,2.305
251,AAPL,20110217,EPS,1,0.82,20110930,0.9886
289,AAPL,20110217,EPS,2,0.93,20120930,1.5768
399,AAPL,20110217,EPS,5,1.33,20150930,2.305
252,AAPL,20110317,EPS,1,0.82,20110930,0.9886
290,AAPL,20110317,EPS,2,0.94,20120930,1.5768
400,AAPL,20110317,EPS,5,1.33,20150930,2.305
253,AAPL,20110414,EPS,1,0.82,20110930,0.9886
291,AAPL,20110414,EPS,2,0.96,20120930,1.5768
401,AAPL,20110414,EPS,5,1.33,20150930,2.305
254,AAPL,20110519,EPS,1,0.88,20110930,0.9886
292,AAPL,20110519,EPS,2,1.02,20120930,1.5768
402,AAPL,20110519,EPS,5,1.33,20150930,2.305
255,AAPL,20110616,EPS,1,0.88,20110930,0.9886
293,AAPL,20110616,EPS,2,1.02,20120930,1.5768
403,AAPL,20110616,EPS,5,1.33,20150930,2.305
256,AAPL,20110714,EPS,1,0.89,20110930,0.9886
294,AAPL,20110714,EPS,2,1.04,20120930,1.5768
257,AAPL,20110818,EPS,1,0.98,20110930,0.9886
295,AAPL,20110818,EPS,2,1.15,20120930,1.5768
258,AAPL,20110915,EPS,1,0.98,20110930,0.9886
296,AAPL,20110915,EPS,2,1.16,20120930,1.5768
273,AAPL,20111020,EPS,1,1.22,20120930,1.5768
319,AAPL,20111020,EPS,2,1.39,20130930,1.4196
274,AAPL,20111117,EPS,1,1.23,20120930,1.5768
320,AAPL,20111117,EPS,2,1.39,20130930,1.4196
275,AAPL,20111215,EPS,1,1.24,20120930,1.5768
321,AAPL,20111215,EPS,2,1.39,20130930,1.4196
276,AAPL,20120119,EPS,1,1.26,20120930,1.5768
322,AAPL,20120119,EPS,2,1.41,20130930,1.4196
277,AAPL,20120216,EPS,1,1.53,20120930,1.5768
323,AAPL,20120216,EPS,2,1.69,20130930,1.4196
278,AAPL,20120315,EPS,1,1.54,20120930,1.5768
324,AAPL,20120315,EPS,2,1.72,20130930,1.4196
279,AAPL,20120419,EPS,1,1.58,20120930,1.5768
325,AAPL,20120419,EPS,2,1.81,20130930,1.4196
280,AAPL,20120517,EPS,1,1.68,20120930,1.5768
326,AAPL,20120517,EPS,2,1.93,20130930,1.4196
428,AAPL,20120517,EPS,5,3.39,20160930,2.0775
281,AAPL,20120614,EPS,1,1.68,20120930,1.5768
327,AAPL,20120614,EPS,2,1.93,20130930,1.4196
429,AAPL,20120614,EPS,5,3.39,20160930,2.0775
282,AAPL,20120719,EPS,1,1.67,20120930,1.5768
328,AAPL,20120719,EPS,2,1.94,20130930,1.4196
430,AAPL,20120719,EPS,5,3.32,20160930,2.0775
283,AAPL,20120816,EPS,1,1.58,20120930,1.5768
329,AAPL,20120816,EPS,2,1.87,20130930,1.4196
431,AAPL,20120816,EPS,5,3.25,20160930,2.0775
284,AAPL,20120920,EPS,1,1.58,20120930,1.5768
330,AAPL,20120920,EPS,2,1.89,20130930,1.4196
432,AAPL,20120920,EPS,5,3.25,20160930,2.0775
285,AAPL,20121018,EPS,1,1.58,20120930,1.5768
331,AAPL,20121018,EPS,2,1.9,20130930,1.4196
433,AAPL,20121018,EPS,5,2.54,20160930,2.0775
307,AAPL,20121115,EPS,1,1.79,20130930,1.4196
356,AAPL,20121115,EPS,2,2.09,20140930,1.6125
458,AAPL,20121115,EPS,5,2.96,20170930,2.3025
308,AAPL,20121220,EPS,1,1.75,20130930,1.4196
357,AAPL,20121220,EPS,2,2.06,20140930,1.6125
459,AAPL,20121220,EPS,5,2.64,20170930,2.3025
309,AAPL,20130117,EPS,1,1.72,20130930,1.4196
358,AAPL,20130117,EPS,2,2.03,20140930,1.6125
460,AAPL,20130117,EPS,5,2.17,20170930,2.3025
310,AAPL,20130214,EPS,1,1.6,20130930,1.4196
359,AAPL,20130214,EPS,2,1.82,20140930,1.6125
